toa,toa_sub,Female,Gender - All,Male,Unspecified,cube,quarter
Non-permanent,44-Excepted Service - Schedule C,651.0,1376.0,725.0,,Employment - September 2002,2002-09
Non-permanent,46-Excepted Service - Executive,125.0,536.0,411.0,,Employment - September 2002,2002-09
Non-permanent,48-Excepted Service - Other,12564.0,28531.0,15954.0,13.0,Employment - September 2002,2002-09
Non-permanent,60-Senior Executive Service - Limited Term,32.0,142.0,110.0,,Employment - September 2002,2002-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Employment - September 2002,2002-09
Non-permanent,Non-permanent,40507.0,91798.0,51270.0,21.0,Employment - September 2002,2002-09
Unspecified,Unspecified,40.0,89.0,49.0,,Employment - September 2002,2002-09
Permanent,10-Competitive Service - Career,499971.0,1101151.0,601174.0,,Employment - September 2003,2003-09
Permanent,15-Competitive Service - Career-Conditional,65393.0,163876.0,98474.0,,Employment - September 2003,2003-09
Permanent,30-Excepted Service - Schedule A,13564.0,34042.0,20478.0,,Employment - September 2003,2003-09
Permanent,32-Excepted Service - Schedule B,6918.0,16817.0,9898.0,,Employment - September 2003,2003-09
Permanent,36-Excepted Service - Executive,,,,,Employment - September 2003,2003-09
Permanent,38-Excepted Service - Other,98063.0,259810.0,161720.0,27.0,Employment - September 2003,2003-09
Permanent,50-Senior Executive Service - Career,1642.0,6216.0,4572.0,,Employment - September 2003,2003-09
Permanent,55-Senior Executive Service - Non-Career,146.0,640.0,494.0,,Employment - September 2003,2003-09
Permanent,**-Unspecified,29.0,79.0,50.0,,Employment - September 2003,2003-09
Permanent,Permanent,685727.0,1582636.0,896864.0,45.0,Employment - September 2003,2003-09
Non-permanent,20-Competitive Service,12975.0,32704.0,19727.0,,Employment - September 2003,2003-09
Non-permanent,40-Excepted Service - Schedule A,8278.0,15576.0,7283.0,15.0,Employment - September 2003,2003-09
Non-permanent,42-Excepted Service - Schedule B,4553.0,9567.0,5014.0,,Employment - September 2003,2003-09
Non-permanent,44-Excepted Service - Schedule C,690.0,1487.0,797.0,,Employment - September 2003,2003-09
Non-permanent,46-Excepted Service - Executive,117.0,525.0,408.0,,Employment - September 2003,2003-09
Non-permanent,48-Excepted Service - Other,22477.0,54182.0,31647.0,58.0,Employment - September 2003,2003-09
Non-permanent,60-Senior Executive Service - Limited Term,40.0,142.0,102.0,,Employment - September 2003,2003-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Employment - September 2003,2003-09
Non-permanent,Non-permanent,49131.0,114190.0,64984.0,75.0,Employment - September 2003,2003-09
Unspecified,Unspecified,189.0,382.0,193.0,,Employment - September 2003,2003-09
Permanent,10-Competitive Service - Career,498644.0,1097185.0,598536.0,,Employment - September 2004,2004-09
Permanent,15-Competitive Service - Career-Conditional,61204.0,160786.0,99579.0,,Employment - September 2004,2004-09
Permanent,30-Excepted Service - Schedule A,13701.0,34309.0,20608.0,,Employment - September 2004,2004-09
Permanent,32-Excepted Service - Schedule B,9196.0,22631.0,13433.0,,Employment - September 2004,2004-09
Permanent,36-Excepted Service - Executive,,,,,Employment - September 2004,2004-09
Permanent,38-Excepted Service - Other,107078.0,280907.0,173797.0,32.0,Employment - September 2004,2004-09
Permanent,50-Senior Executive Service - Career,1689.0,6194.0,4505.0,,Employment - September 2004,2004-09
Permanent,55-Senior Executive Service - Non-Career,164.0,691.0,527.0,,Employment - September 2004,2004-09
Permanent,**-Unspecified,29.0,66.0,37.0,,Employment - September 2004,2004-09
Permanent,Permanent,691706.0,1602773.0,911025.0,42.0,Employment - September 2004,2004-09
Non-permanent,20-Competitive Service,12234.0,32200.0,19966.0,,Employment - September 2004,2004-09
Non-permanent,40-Excepted Service - Schedule A,8363.0,16706.0,8338.0,,Employment - September 2004,2004-09
Non-permanent,42-Excepted Service - Schedule B,4773.0,11236.0,6463.0,,Employment - September 2004,2004-09
Non-permanent,44-Excepted Service - Schedule C,700.0,1518.0,818.0,,Employment - September 2004,2004-09
Non-permanent,46-Excepted Service - Executive,125.0,518.0,393.0,,Employment - September 2004,2004-09
Non-permanent,48-Excepted Service - Other,14813.0,31257.0,16406.0,38.0,Employment - September 2004,2004-09
Non-permanent,60-Senior Executive Service - Limited Term,27.0,121.0,94.0,,Employment - September 2004,2004-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Employment - September 2004,2004-09
Non-permanent,Non-permanent,41037.0,93562.0,52482.0,43.0,Employment - September 2004,2004-09
Unspecified,Unspecified,16.0,58.0,42.0,,Employment - September 2004,2004-09
Permanent,10-Competitive Service - Career,495298.0,1094535.0,599233.0,,Employment - September 2005,2005-09
Permanent,15-Competitive Service - Career-Conditional,57347.0,154489.0,97141.0,,Employment - September 2005,2005-09
Permanent,30-Excepted Service - Schedule A,13689.0,34319.0,20630.0,,Employment - September 2005,2005-09
Permanent,32-Excepted Service - Schedule B,11426.0,28040.0,16614.0,,Employment - September 2005,2005-09
Permanent,36-Excepted Service - Executive,,,,,Employment - September 2005,2005-09
Permanent,38-Excepted Service - Other,114079.0,292909.0,178812.0,18.0,Employment - September 2005,2005-09
Permanent,50-Senior Executive Service - Career,1747.0,6295.0,4548.0,,Employment - September 2005,2005-09
Permanent,55-Senior Executive Service - Non-Career,144.0,612.0,468.0,,Employment - September 2005,2005-09
Permanent,**-Unspecified,103.0,196.0,93.0,,Employment - September 2005,2005-09
Permanent,Permanent,693835.0,1611400.0,917542.0,23.0,Employment - September 2005,2005-09
Non-permanent,20-Competitive Service,12039.0,32155.0,20116.0,,Employment - September 2005,2005-09
Non-permanent,40-Excepted Service - Schedule A,8911.0,18870.0,9957.0,,Employment - September 2005,2005-09
Non-permanent,42-Excepted Service - Schedule B,4880.0,11213.0,6332.0,,Employment - September 2005,2005-09
Non-permanent,44-Excepted Service - Schedule C,725.0,1623.0,898.0,,Employment - September 2005,2005-09
