toa,toa_sub,Minority,Non-Minority,Unspecified,Ethnicity and Race Indicator - All,cube,quarter
Non-permanent,44-Excepted Service - Schedule C,438.0,970.0,,1408.0,Diversity - September 2012,2012-09
Non-permanent,45-Excepted Service - Schedule D,674.0,1130.0,,1804.0,Diversity - September 2012,2012-09
Non-permanent,46-Excepted Service - Executive,156.0,476.0,,632.0,Diversity - September 2012,2012-09
Non-permanent,48-Excepted Service - Other,11446.0,23375.0,9.0,34830.0,Diversity - September 2012,2012-09
Non-permanent,60-Senior Executive Service - Limited Term,25.0,89.0,,114.0,Diversity - September 2012,2012-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - September 2012,2012-09
Non-permanent,Non-permanent,28565.0,70100.0,24.0,98689.0,Diversity - September 2012,2012-09
Unspecified,Unspecified,,14.0,,16.0,Diversity - September 2012,2012-09
Permanent,10-Competitive Service - Career,426953.0,763244.0,667.0,1190864.0,Diversity - December 2012,2012-12
Permanent,15-Competitive Service - Career-Conditional,71961.0,150735.0,44.0,222740.0,Diversity - December 2012,2012-12
Permanent,30-Excepted Service - Schedule A,15033.0,29267.0,17.0,44317.0,Diversity - December 2012,2012-12
Permanent,32-Excepted Service - Schedule B,1597.0,4204.0,,5802.0,Diversity - December 2012,2012-12
Permanent,35-Excepted Service - Schedule D,2393.0,4356.0,,6749.0,Diversity - December 2012,2012-12
Permanent,36-Excepted Service - Executive,5.0,25.0,,30.0,Diversity - December 2012,2012-12
Permanent,38-Excepted Service - Other,123040.0,252438.0,315.0,375793.0,Diversity - December 2012,2012-12
Permanent,50-Senior Executive Service - Career,1390.0,5907.0,,7299.0,Diversity - December 2012,2012-12
Permanent,55-Senior Executive Service - Non-Career,155.0,498.0,,654.0,Diversity - December 2012,2012-12
Permanent,**-Unspecified,7.0,11.0,,18.0,Diversity - December 2012,2012-12
Permanent,Permanent,642534.0,1210685.0,1047.0,1854266.0,Diversity - December 2012,2012-12
Non-permanent,20-Competitive Service,7014.0,17462.0,,24476.0,Diversity - December 2012,2012-12
Non-permanent,40-Excepted Service - Schedule A,5008.0,10435.0,8.0,15451.0,Diversity - December 2012,2012-12
Non-permanent,42-Excepted Service - Schedule B,1030.0,2504.0,5.0,3539.0,Diversity - December 2012,2012-12
Non-permanent,44-Excepted Service - Schedule C,434.0,941.0,,1375.0,Diversity - December 2012,2012-12
Non-permanent,45-Excepted Service - Schedule D,1851.0,2397.0,,4249.0,Diversity - December 2012,2012-12
Non-permanent,46-Excepted Service - Executive,154.0,461.0,,615.0,Diversity - December 2012,2012-12
Non-permanent,48-Excepted Service - Other,11487.0,23330.0,12.0,34829.0,Diversity - December 2012,2012-12
Non-permanent,60-Senior Executive Service - Limited Term,25.0,76.0,,101.0,Diversity - December 2012,2012-12
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - December 2012,2012-12
Non-permanent,Non-permanent,27003.0,57607.0,26.0,84636.0,Diversity - December 2012,2012-12
Unspecified,Unspecified,,10.0,,13.0,Diversity - December 2012,2012-12
Permanent,10-Competitive Service - Career,428428.0,764195.0,635.0,1193258.0,Diversity - March 2013,2013-03
Permanent,15-Competitive Service - Career-Conditional,69443.0,142949.0,31.0,212423.0,Diversity - March 2013,2013-03
Permanent,30-Excepted Service - Schedule A,14983.0,29064.0,16.0,44063.0,Diversity - March 2013,2013-03
Permanent,32-Excepted Service - Schedule B,3200.0,6922.0,,10123.0,Diversity - March 2013,2013-03
Permanent,35-Excepted Service - Schedule D,552.0,1036.0,,1588.0,Diversity - March 2013,2013-03
Permanent,36-Excepted Service - Executive,5.0,25.0,,30.0,Diversity - March 2013,2013-03
Permanent,38-Excepted Service - Other,123646.0,252007.0,325.0,375978.0,Diversity - March 2013,2013-03
Permanent,50-Senior Executive Service - Career,1374.0,5830.0,,7206.0,Diversity - March 2013,2013-03
Permanent,55-Senior Executive Service - Non-Career,143.0,456.0,,600.0,Diversity - March 2013,2013-03
Permanent,**-Unspecified,,10.0,,13.0,Diversity - March 2013,2013-03
Permanent,Permanent,641777.0,1202494.0,1011.0,1845282.0,Diversity - March 2013,2013-03
Non-permanent,20-Competitive Service,7350.0,17042.0,,24392.0,Diversity - March 2013,2013-03
Non-permanent,40-Excepted Service - Schedule A,4435.0,9205.0,6.0,13646.0,Diversity - March 2013,2013-03
Non-permanent,42-Excepted Service - Schedule B,1479.0,2523.0,6.0,4008.0,Diversity - March 2013,2013-03
Non-permanent,44-Excepted Service - Schedule C,413.0,908.0,,1321.0,Diversity - March 2013,2013-03
Non-permanent,45-Excepted Service - Schedule D,302.0,343.0,,645.0,Diversity - March 2013,2013-03
Non-permanent,46-Excepted Service - Executive,145.0,443.0,,588.0,Diversity - March 2013,2013-03
Non-permanent,48-Excepted Service - Other,11454.0,23208.0,13.0,34675.0,Diversity - March 2013,2013-03
Non-permanent,60-Senior Executive Service - Limited Term,23.0,83.0,,106.0,Diversity - March 2013,2013-03
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - March 2013,2013-03
Non-permanent,Non-permanent,25601.0,53758.0,25.0,79384.0,Diversity - March 2013,2013-03
Unspecified,Unspecified,,9.0,,12.0,Diversity - March 2013,2013-03
Permanent,10-Competitive Service - Career,432966.0,769134.0,620.0,1202720.0,Diversity - June 2013,2013-06
Permanent,15-Competitive Service - Career-Conditional,63305.0,129339.0,12.0,192656.0,Diversity - June 2013,2013-06
Permanent,30-Excepted Service - Schedule A,14867.0,29047.0,18.0,43932.0,Diversity - June 2013,2013-06
Permanent,32-Excepted Service - Schedule B,3442.0,7220.0,,10664.0,Diversity - June 2013,2013-06
Permanent,35-Excepted Service - Schedule D,894.0,1812.0,,2706.0,Diversity - June 2013,2013-06
Permanent,36-Excepted Service - Executive,5.0,24.0,,29.0,Diversity - June 2013,2013-06
Permanent,38-Excepted Service - Other,124388.0,251946.0,180.0,376514.0,Diversity - June 2013,2013-06
Permanent,50-Senior Executive Service - Career,1380.0,5805.0,,7187.0,Diversity - June 2013,2013-06
Permanent,55-Senior Executive Service - Non-Career,150.0,463.0,,613.0,Diversity - June 2013,2013-06
Permanent,**-Unspecified,5.0,12.0,,17.0,Diversity - June 2013,2013-06
Permanent,Permanent,641402.0,1194802.0,834.0,1837038.0,Diversity - June 2013,2013-06
Non-permanent,20-Competitive Service,7870.0,28449.0,,36319.0,Diversity - June 2013,2013-06
Non-permanent,40-Excepted Service - Schedule A,4155.0,9953.0,5.0,14113.0,Diversity - June 2013,2013-06
Non-permanent,42-Excepted Service - Schedule B,1580.0,3157.0,5.0,4742.0,Diversity - June 2013,2013-06
Non-permanent,44-Excepted Service - Schedule C,407.0,897.0,,1304.0,Diversity - June 2013,2013-06
Non-permanent,45-Excepted Service - Schedule D,1182.0,2092.0,,3275.0,Diversity - June 2013,2013-06
Non-permanent,46-Excepted Service - Executive,141.0,423.0,,564.0,Diversity - June 2013,2013-06
Non-permanent,48-Excepted Service - Other,11438.0,24126.0,5.0,35569.0,Diversity - June 2013,2013-06
Non-permanent,60-Senior Executive Service - Limited Term,19.0,83.0,,102.0,Diversity - June 2013,2013-06
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - June 2013,2013-06
Non-permanent,Non-permanent,26792.0,69183.0,16.0,95991.0,Diversity - June 2013,2013-06
Unspecified,Unspecified,,13.0,,15.0,Diversity - June 2013,2013-06
Permanent,10-Competitive Service - Career,438925.0,779190.0,400.0,1218515.0,Diversity - September 2013,2013-09
Permanent,15-Competitive Service - Career-Conditional,56583.0,115353.0,6.0,171942.0,Diversity - September 2013,2013-09
Permanent,30-Excepted Service - Schedule A,14917.0,29178.0,10.0,44105.0,Diversity - September 2013,2013-09
Permanent,32-Excepted Service - Schedule B,2751.0,5698.0,,8450.0,Diversity - September 2013,2013-09
Permanent,35-Excepted Service - Schedule D,1008.0,1820.0,4.0,2832.0,Diversity - September 2013,2013-09
Permanent,36-Excepted Service - Executive,5.0,25.0,,30.0,Diversity - September 2013,2013-09
Permanent,38-Excepted Service - Other,125374.0,252525.0,119.0,378018.0,Diversity - September 2013,2013-09
Permanent,50-Senior Executive Service - Career,1395.0,5792.0,,7189.0,Diversity - September 2013,2013-09
Permanent,55-Senior Executive Service - Non-Career,159.0,466.0,,625.0,Diversity - September 2013,2013-09
Permanent,**-Unspecified,4.0,13.0,,17.0,Diversity - September 2013,2013-09
Permanent,Permanent,641121.0,1190060.0,542.0,1831723.0,Diversity - September 2013,2013-09
Non-permanent,20-Competitive Service,7524.0,25849.0,,33373.0,Diversity - September 2013,2013-09
Non-permanent,40-Excepted Service - Schedule A,3645.0,8528.0,,12175.0,Diversity - September 2013,2013-09
Non-permanent,42-Excepted Service - Schedule B,1029.0,1862.0,,2891.0,Diversity - September 2013,2013-09
Non-permanent,44-Excepted Service - Schedule C,416.0,892.0,,1308.0,Diversity - September 2013,2013-09
Non-permanent,45-Excepted Service - Schedule D,709.0,969.0,,1678.0,Diversity - September 2013,2013-09
Non-permanent,46-Excepted Service - Executive,142.0,420.0,,562.0,Diversity - September 2013,2013-09
Non-permanent,48-Excepted Service - Other,11178.0,22868.0,,34048.0,Diversity - September 2013,2013-09
Non-permanent,60-Senior Executive Service - Limited Term,16.0,76.0,,92.0,Diversity - September 2013,2013-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - September 2013,2013-09
Non-permanent,Non-permanent,24659.0,61466.0,4.0,86129.0,Diversity - September 2013,2013-09
Unspecified,Unspecified,,6.0,,7.0,Diversity - September 2013,2013-09
Permanent,10-Competitive Service - Career,442622.0,783900.0,363.0,1226885.0,Diversity - December 2013,2013-12
Permanent,15-Competitive Service - Career-Conditional,52158.0,105645.0,5.0,157808.0,Diversity - December 2013,2013-12
Permanent,30-Excepted Service - Schedule A,14789.0,29232.0,9.0,44030.0,Diversity - December 2013,2013-12
Permanent,32-Excepted Service - Schedule B,2522.0,5392.0,,7915.0,Diversity - December 2013,2013-12
Permanent,35-Excepted Service - Schedule D,1214.0,2067.0,4.0,3285.0,Diversity - December 2013,2013-12
Permanent,36-Excepted Service - Executive,4.0,25.0,,29.0,Diversity - December 2013,2013-12
Permanent,38-Excepted Service - Other,126762.0,253410.0,114.0,380286.0,Diversity - December 2013,2013-12
Permanent,50-Senior Executive Service - Career,1391.0,5794.0,,7187.0,Diversity - December 2013,2013-12
Permanent,55-Senior Executive Service - Non-Career,169.0,478.0,,647.0,Diversity - December 2013,2013-12
Permanent,**-Unspecified,4.0,16.0,,20.0,Diversity - December 2013,2013-12
Permanent,Permanent,641635.0,1185959.0,498.0,1828092.0,Diversity - December 2013,2013-12
Non-permanent,20-Competitive Service,6185.0,15673.0,,21858.0,Diversity - December 2013,2013-12
Non-permanent,40-Excepted Service - Schedule A,3263.0,7204.0,,10468.0,Diversity - December 2013,2013-12
Non-permanent,42-Excepted Service - Schedule B,858.0,1630.0,,2488.0,Diversity - December 2013,2013-12
Non-permanent,44-Excepted Service - Schedule C,430.0,882.0,,1312.0,Diversity - December 2013,2013-12
Non-permanent,45-Excepted Service - Schedule D,626.0,759.0,,1385.0,Diversity - December 2013,2013-12
Non-permanent,46-Excepted Service - Executive,142.0,426.0,,568.0,Diversity - December 2013,2013-12
Non-permanent,48-Excepted Service - Other,11011.0,21936.0,,32949.0,Diversity - December 2013,2013-12
Non-permanent,60-Senior Executive Service - Limited Term,17.0,80.0,,97.0,Diversity - December 2013,2013-12
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - December 2013,2013-12
Non-permanent,Non-permanent,22532.0,48591.0,,71126.0,Diversity - December 2013,2013-12
Unspecified,Unspecified,,9.0,,10.0,Diversity - December 2013,2013-12
Permanent,10-Competitive Service - Career,442416.0,780930.0,361.0,1223707.0,Diversity - March 2014,2014-03
Permanent,15-Competitive Service - Career-Conditional,48395.0,98034.0,4.0,146433.0,Diversity - March 2014,2014-03
Permanent,30-Excepted Service - Schedule A,14785.0,28988.0,9.0,43782.0,Diversity - March 2014,2014-03
Permanent,32-Excepted Service - Schedule B,2320.0,4945.0,,7266.0,Diversity - March 2014,2014-03
Permanent,35-Excepted Service - Schedule D,1249.0,2162.0,4.0,3415.0,Diversity - March 2014,2014-03
Permanent,36-Excepted Service - Executive,4.0,26.0,,30.0,Diversity - March 2014,2014-03
Permanent,38-Excepted Service - Other,127301.0,252762.0,111.0,380174.0,Diversity - March 2014,2014-03
Permanent,50-Senior Executive Service - Career,1365.0,5688.0,,7054.0,Diversity - March 2014,2014-03
Permanent,55-Senior Executive Service - Non-Career,173.0,483.0,,656.0,Diversity - March 2014,2014-03
Permanent,**-Unspecified,6.0,21.0,,27.0,Diversity - March 2014,2014-03
Permanent,Permanent,638014.0,1174039.0,491.0,1812544.0,Diversity - March 2014,2014-03
Non-permanent,20-Competitive Service,5929.0,14994.0,,20923.0,Diversity - March 2014,2014-03
Non-permanent,40-Excepted Service - Schedule A,3170.0,7084.0,,10255.0,Diversity - March 2014,2014-03
Non-permanent,42-Excepted Service - Schedule B,711.0,1317.0,,2028.0,Diversity - March 2014,2014-03
Non-permanent,44-Excepted Service - Schedule C,444.0,886.0,,1330.0,Diversity - March 2014,2014-03
Non-permanent,45-Excepted Service - Schedule D,521.0,578.0,,1099.0,Diversity - March 2014,2014-03
Non-permanent,46-Excepted Service - Executive,138.0,413.0,,551.0,Diversity - March 2014,2014-03
Non-permanent,48-Excepted Service - Other,11074.0,22210.0,,33286.0,Diversity - March 2014,2014-03
Non-permanent,60-Senior Executive Service - Limited Term,18.0,79.0,,97.0,Diversity - March 2014,2014-03
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Diversity - March 2014,2014-03
Non-permanent,Non-permanent,22005.0,47562.0,,69570.0,Diversity - March 2014,2014-03
Unspecified,Unspecified,,9.0,,10.0,Diversity - March 2014,2014-03
Permanent,10-Competitive Service - Career,443453.0,778844.0,260.0,1222557.0,Diversity - June 2014,2014-06
Permanent,15-Competitive Service - Career-Conditional,48888.0,97396.0,5.0,146289.0,Diversity - June 2014,2014-06
Permanent,30-Excepted Service - Schedule A,14938.0,28970.0,6.0,43914.0,Diversity - June 2014,2014-06
Permanent,32-Excepted Service - Schedule B,2215.0,4897.0,,7113.0,Diversity - June 2014,2014-06
Permanent,35-Excepted Service - Schedule D,1950.0,3636.0,,5586.0,Diversity - June 2014,2014-06
Permanent,36-Excepted Service - Executive,4.0,26.0,,30.0,Diversity - June 2014,2014-06
